gene1	gene2	gene3
ind1_context1	-0.990266619351794	-0.717409298052353	-0.0926946758053948
ind1_context2	0.0184419800979106	0.945922748072679	1.38151788261331
ind1_context3	-1.72214438809898	-1.13145176783382	1.04634669370378
ind1_context4	-1.33430002716945	-0.0752978403244479	1.69261251980709
ind1_context5	0.0716520283701451	-0.81357610305506	1.4428333737427
ind10_context1	0.772932569442615	1.14559290113065	0.281531258384996
ind10_context2	3.34472078050066	0.966898468776988	0.112741139274746
ind10_context3	1.93513863520759	2.11044266585012	0.428538921575503
ind10_context4	1.9588348328909	0.832126778761165	0.887376259307419
ind10_context5	1.7445187502849	1.43727173321477	1.16531704693217
ind100_context1	0.188501135398456	1.04563437477585	-2.68799432492253
ind100_context2	3.17344136511966	2.6808495920676	0.090962773224827
ind100_context3	2.1971061140917	0.791418242083636	0.624150330844735
ind100_context4	2.27910367942348	1.33288289462141	0.374743631461635
ind100_context5	2.87517316010061	1.53189121603266	0.187378366507602
ind101_context1	1.56949841712351	0.558436019353072	2.17921030095493
ind101_context2	1.33791727857413	0.074121739965347	2.35014673296383
ind101_context3	0.851676962533694	-1.81953690056927	0.901874719356164
ind101_context4	0.259343758053092	1.60527570952175	3.47510964580584
ind101_context5	0.627208304321719	-0.631446053362411	3.17973729498598
ind102_context1	0.416453733108092	2.56375512176945	-0.00669376024337619
ind102_context2	-0.151964202346027	0.980902573165662	1.36918709811083
ind102_context3	0.845677105090293	2.21953564341834	0.33677502137284
ind102_context4	0.973003428764281	1.39633167895266	0.847265381514446
ind102_context5	-1.0702924615629	2.638063791783	-0.212939257456882
ind103_context1	0.00502920442098831	1.3801141289527	1.32290416271296
ind103_context2	0.372154556229079	-0.14347942833967	0.899624707836847
ind103_context3	1.66592956009579	0.638620574047816	0.285021889584387
ind103_context4	0.672567948045288	-0.115430425317034	-0.365281592119576
ind103_context5	1.02777018383869	0.0627670693517222	0.0502619963526624
ind104_context1	-0.391989703301109	0.835934607501146	-0.982059711944989
ind104_context2	1.02728327090245	0.214474853141647	0.515577854408173
ind104_context3	0.742188256987786	-0.634648976037579	1.10605290807946
ind104_context4	-0.330184796416372	-0.807147053221993	0.420258471903823
ind104_context5	0.459187305160437	0.165640070846155	0.619758957782533
ind105_context1	1.04662811215457	0.623709401466901	-0.0730624048371449
ind105_context2	0.58842105976687	0.547012702953394	-0.0279020356599359
ind105_context3	3.03963591731407	1.15919850903507	0.0759765799752093
ind105_context4	1.50621877736199	1.65908762822467	-1.26122951904925
ind105_context5	0.447528096638156	-0.0480934751499027	-1.67885191787711
ind106_context1	1.02213631818602	-0.362251659209728	0.0956198242925198
ind106_context2	2.28498404393636	0.979559535200654	-0.231059135012571
ind106_context3	-0.3896838115853	2.02293774083983	-0.856411269360078
ind106_context4	-0.3260959390188	1.59917473948975	-2.58817964667141
ind106_context5	0.920078906376601	1.12233412505872	2.05236148560376
ind107_context1	1.54697276179789	-0.337248397949355	1.88120960390115
ind107_context2	-0.91282425450061	-1.06958938772749	-0.650056026473023
ind107_context3	0.706125813971594	-1.51938788224336	0.85471010366412
ind107_context4	-0.436817358545853	-1.00949066886273	-1.08407392179415
ind107_context5	1.29135169863685	-1.17805284420174	-1.80938286491416
ind108_context1	0.119194712627563	-0.0930885261069302	-0.874388640701782
ind108_context2	1.34558123888069	-0.416222191526114	1.57480931203035
ind108_context3	0.679595585736223	0.0143187294901275	-0.99545430526685
ind108_context4	0.608158546677898	-1.55284053610838	0.407795967316831
ind108_context5	0.581851908138024	0.717461392119204	1.20856608788547
ind109_context1	0.776817162769539	0.193647520040831	2.01984895574079
ind109_context2	-2.26076920104428	0.789855024324656	1.19163556656107
ind109_context3	-2.01208349798088	-0.601652862355115	1.18001800820864
ind109_context4	-1.16582000888475	0.828713002737904	1.79871979713724
ind109_context5	-0.947097137850539	0.439975256574186	2.91677041542422
ind11_context1	0.767195453452116	0.458250972623971	-0.621008249585887
ind11_context2	-1.15990520820274	0.646007364043188	-0.19507130919191
ind11_context3	0.530641114021634	0.606354435421717	0.149486748876502
ind11_context4	0.817287570047954	-0.819203695910388	1.15731685056941
ind11_context5	-0.603379069883435	-0.538543124268436	0.597523874505284
ind110_context1	0.264054626864965	0.692092376527692	1.16094005900011
ind110_context2	1.29193510302173	1.01052070750124	0.073000255032817
ind110_context3	1.78966565383916	3.28221076105774	0.217666001857173
ind110_context4	-0.712862053810039	2.77694229479548	-0.135585699242138
ind110_context5	0.0951402752996176	1.77601891715626	0.866472487404828
ind111_context1	-1.19728380442989	-0.586200453510359	0.270476544252265
ind111_context2	-1.14940952254382	-0.969549403034198	-0.185907630607054
ind111_context3	1.20215166293833	0.491730763809061	0.930577562405035
ind111_context4	-0.575676626611746	-1.92260447133854	1.09793006842187
ind111_context5	0.825960246713991	0.254905292778809	2.09239551041574
ind112_context1	-0.611522580115334	1.37374737941995	0.787806984407336
ind112_context2	-0.322284344094395	0.493035942701001	0.983767889062236
ind112_context3	-1.65215107520613	3.29935438197683	1.64682358677553
ind112_context4	-1.2733431225779	2.54203259823085	1.55982970832415
ind112_context5	-1.18956152159986	0.614551496836288	0.174456932864486
ind113_context1	0.888261179220899	-2.41411265818158	-0.415777106631256
ind113_context2	0.61289423321974	-1.13649134899109	0.177422700949548
ind113_context3	0.991246974151612	0.474447515227099	-0.460189676063248
ind113_context4	-0.104783964993931	-3.19181758278642	-0.568069655450332
ind113_context5	0.627443889938137	-3.24278168784805	0.308130765372131
ind114_context1	-0.32563462207384	1.25047926850566	0.0884540572255993
ind114_context2	-0.784148786310059	0.299062933518273	0.664679906585095
ind114_context3	0.0834559434668019	1.21500576772298	2.51276367126351
ind114_context4	-0.136688757536784	-0.754015202803221	-0.651813263359885
ind114_context5	-0.710926339727705	-0.656327064992635	1.04867173147931
ind115_context1	-0.43838933527476	0.564435350724829	0.210884683553862
ind115_context2	-0.0405244610063681	1.70052721573389	0.561730081819502
ind115_context3	-0.131637129505681	3.2103030028276	0.125896620369075
ind115_context4	-0.122972339882907	-0.13304754414264	-0.510621747574915
ind115_context5	0.588891389261887	1.7794805159283	0.314584010836483
ind116_context1	0.420657533839059	0.493916671011327	0.0985212996586144
ind116_context2	0.175069129357335	-0.231029431792161	-0.298693110946413
ind116_context3	-0.246398777366756	0.469730211726395	1.85672743891804
ind116_context4	1.13500060690645	-0.740629446516387	0.565596899464301
ind116_context5	0.405662126569643	1.56205682919564	-0.595777299976987
ind117_context1	0.91633448804518	-0.0694441263363872	0.961274305331772
ind117_context2	0.134839195905153	0.199396105391519	0.147272413640976
ind117_context3	0.448938078200479	0.577691514696654	0.370948820947986
ind117_context4	0.798164022632406	0.156644860772788	-0.453497554502531
ind117_context5	-1.58434433220728	1.6531757162903	1.24866625940632
